,user_id,review,score
59,커피에침타는중입니다(ampe****),스토리를 다알아도 실사화를 정말 잘해서 하나도 안지루하고 재밌음  !,10
60,아마이몬(soal****),A whole new world는 원작 애니 느낌과 분위기가 좋았지만 역시 띵곡이다,10
61,dnjswngh(alex****),자스민 캐스팅 신의 한 수!! 나오미 스콧 넘나 좋고 영화도 최고에요 ㅠㅠ!!,10
62,피카츄(hkoo****),어린이영화라고 치기엔 어른이 보기도 너무 재밌었습니다 굿굿,10
63,제피(zeph****),실사영화중에 이만큼 선방한 작품은 없었다미녀야수보다 훨씬 높게 평가함,8
64,grais(grai****),"처음 아라비안 나잇~ 노래 나올때부터 감동받아 울뻔하고 알라딘 좀도둑 몰리는 씬에서 ost나올때랑 알리 아바브와 왕자 입장할때는 행복해서 입꼬리 씰룩거리며 괜스레 뿌듯, a whole new world 나올때는 벅차...",10
65,오디세이(odys****),히어로영화보다는 이런영화보아야,10
66,john(nsw_****),"관람객


														
															
															
																자스민 너무 이쁜거 아니냐.. ost도 그렇고.. 옛 향수가 그대로 영화로 들어왔음 대만족!!",10
67,miji****,퇴근하고 혼자 보고왔는데 동화속에 들어갔다 온 기분이었어요!! 여자주인공이 정말 너무 멋있고 가슴 따뜻해지는 영화네요 최고최고,10
68,휘(dong****),"관람객


														
															
															
																두시간 동안 너무 행복했어. 또 초대 해줘 디즈니...",10
69,habe****,어쩜 이런 찰떡 같은 배우들을 캐스팅 했을까..너무 아름답고 행복해지는 영화다..,10
70,이예지(p_um****),진짜 네티즌 평 보니까 나만 그렇게 생각하는게 아니구나ㅋㅋㅋ맨처음 아라비안나~이트 소름 쫙 돋고 윌스미스 하드캐리에 원작 제대로 후려갈김. 영상미 사운드 단연 최고.. 실사 영화중에 최고에요 정말... 마지막엔 눈물...,10
71,권혁수(ckdt****),시사회 보고왔습니다.  역시 알라딘 입니다.  역시  디즈니 입니다.   감동과 즐거움을  선사합니딘.,10
72,린지스타(ehuh****),"지니의 한마디가 내내 남는다 ""너의 가치를 믿어"" 누군가의 여자가 아닌 한 사람으로써당당하게 표현되는 변화된 공주 캐릭터도너무 좋았다. 디즈니는 늘 옳다",10
73,고양이는귀엽다참(rhvh****),영화를 보는 이유... 그 시간만큼은 다른세계에서 꿈을 꿀 수 있으니깐ㅋ 용기와 희망을 주니깐... 그래서 답답한 현실을 조금이나마 견뎌낼 힘이 생기니깐. 유치하다고 할 지 몰라도 세월이 갈수록 다큐같은 현실풍자 진...,10
74,정보없음(sung****),어린시절 좋아했던 영화를 이렇게 나이를 먹고 실사화로 보니 감회가 새롭게 느껴졌습니다러닝타임이 2시간인지도 모르고 웃으며 행복하게 봤구요♥여러분도 이번에 알라딘을 보시고 그 시절의 나를 만나보시는게 어떨까요Do yo...,10
75,데미얌(xfd3****),디즈니 실사화 중에서 미녀와 야수가 최고일거라 생각했는데 알라딘이였네,10
76,미니(ou_h****),"관람객


														
															
															
																라이브액션이 원작보다 더 화려하고 재밌을줄이야 ㅜㅜ갓즈니 ㅜㅜ  그리고 A whole new world ㅜㅜ 진짜 명곡인걸 새삼 느낌",10
77,이재형(jhle****),나오미 스콧 입덕ㅋㅋ 입소문 탈 영화,10
78,JIGU(jigu****),"관람객


														
															
															
																알라딘 대박터질 듯…! 진짜 상상이상으로 믿기지 않는 비주얼 ㄷㄷ..!!쟈스민 공주 넘나 이뿐것♥",10
