movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20182353,거짓말 2018: 감독판,,2018,20180327,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이전', ' ', ' ', ' ')","[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20171122,레디 플레이어 원,Ready Player One,2018,20180328,장편,개봉,미국,"액션,SF,어드벤처",미국,액션,"('스티븐 스필버그', ' ', ' ', ' ')",[]
20182988,료칸 여인들의 터지는 신음소리,A woman at an inn,2017,20180324,장편,개봉,일본,드라마,일본,드라마,"('츠지 코우지', ' ', ' ', ' ')",[]
20182987,남편 몰래 날마다 신음하는 거유비서,Conditions of secretary,2017,20180324,장편,개봉,일본,드라마,일본,드라마,"('긴다이치 코고로', ' ', ' ', ' ')",[]
20182401,블루라인,Blue Line,2017,20180322,장편,개봉,캐나다,"액션,스릴러",캐나다,액션,"('제이콥 쿠니', ' ', ' ', ' ')",[]
20182275,새디스트,Compulsion,2017,20180322,장편,개봉,영국,스릴러,영국,스릴러,"('크레이그 굿윌', ' ', ' ', ' ')",[]
20175772,도시괴담,Terror 5,2016,20180322,장편,개봉,프랑스,공포(호러),프랑스,공포(호러),"('세바스티안 로스타인', '페데리코 로스타인', ' ', ' ')",[]
20182355,알 카포네 스카페이스의 전설,GANGSTER LAND,2017,20180322,장편,개봉,미국,"범죄,액션",미국,범죄,"('티모시 우드워드 주니어', ' ', ' ', ' ')",[]
20189942,핑크 침대의 변태성욕,Tsurutsurumankono Hentai Seiyoku,2016,20180322,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('우스바시 수이', ' ', ' ', ' ')",[]
20173995,타클라마칸,Taklamakan,2017,20180322,장편,개봉,한국,드라마,한국,드라마,"('고은기', ' ', ' ', ' ')","[{'companyCd': '20173902', 'companyNm': '(주)영화공장'}]"
20181762,영웅본색4,A Better Tomorrow 4,2017,20180322,장편,개봉,중국,"액션,스릴러",중국,액션,"('딩성', ' ', ' ', ' ')",[]
20181981,여자 하숙집2,,2018,20180322,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이리단', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20175792,소림사: 전설의 고수,Devil Approaching,2017,20180322,장편,개봉,중국,"사극,액션",중국,사극,"('도효', ' ', ' ', ' ')",[]
20189943,미인 여교사와 실습,Found Blow Job Instructor at Driving School,2017,20180322,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('사카모토 마사히로', ' ', ' ', ' ')",[]
20170010,러블리 마드리드,Madrid 1987,2011,20180322,장편,개봉,스페인,드라마,스페인,드라마,"('데이빗 트루에바', ' ', ' ', ' ')",[]
20175625,더 미드와이프,The Midwife,2017,20180322,장편,개봉,프랑스,"드라마,코미디",프랑스,드라마,"('마르탱 프로보스트', ' ', ' ', ' ')",[]
20182667,처제,Daughter-in-law's sister ~,2016,20180320,장편,개봉,일본,드라마,일본,드라마,"('긴다이치 코고로', ' ', ' ', ' ')",[]
20181402,작은 엄마 무삭제,,2017,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이리단', ' ', ' ', ' ')","[{'companyCd': '20154628', 'companyNm': '(주)영화사 사계절'}]"
20171372,일본 엄마 2 무삭제,,2017,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('김무원', ' ', ' ', ' ')","[{'companyCd': '20154628', 'companyNm': '(주)영화사 사계절'}]"
20174104,외출 2 무삭제,,2017,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('곽영근', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20172867,여자들 : 섹스의 만족도 무삭제,,2017,20180320,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,"('김부곤', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182666,아내의 몸캠,Video letter from the wife,2016,20180320,장편,개봉,일본,드라마,일본,드라마,"('크왓치', ' ', ' ', ' ')",[]
20182665,신혼부부,Wants Children,2016,20180320,장편,개봉,일본,드라마,일본,드라마,"('나카메구로 코우지', ' ', ' ', ' ')",[]
20182365,가래떡의 맛: 감독판,,2018,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이전', ' ', ' ', ' ')","[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
