movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20182317,부도덕한 친구엄마,Yujin no Hahaoya Kawakami Yu,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사루 타카시'}],[]
20182313,미용사 몰카 성공,Sex Trial at Beauty Shop 5,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '코지마 유키오'}],[]
20182316,며느리의 뜨거운 배꼽,Teinentaishoku shite Aika Ami,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사루 타카시'}],[]
20182234,뜨거운 부장님의 아내,Bucho no Okusan ga Erosugite Sawamura Reiko,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '카니에'}],[]
20182312,너무 뜨거운 새엄마,Hairanbi,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '타마츠카 빙고'}],[]
20183648,새 어린 엄마 - 무삭제판,,2018.0,20181127,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이민'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20188005,크리스마스의 황당한 악몽,Mercy Christmas,2017.0,20181206,장편,개봉,미국,"공포(호러),코미디,액션",미국,공포(호러),[{'peopleNm': '라이언 넬슨'}],[]
20180675,저주의 산뗏,Santet,2018.0,20181206,장편,개봉,인도네시아,공포(호러),인도네시아,공포(호러),[{'peopleNm': '헬피 카르딧'}],[]
20175526,데스트랩,The DMZ,2018.0,20181206,장편,개봉,한국,"스릴러,액션",한국,스릴러,[{'peopleNm': '오인천'}],"[{'companyCd': '20174341', 'companyNm': '(주)영화맞춤제작소 영화공장'}]"
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,2018.0,20181206,장편,개봉,미국,"판타지,드라마",미국,판타지,"[{'peopleNm': '라세 할스트롬'}, {'peopleNm': '조 존스톤'}]",[]
20182729,리틀 이태리,Little Italy,2018.0,20181206,장편,개봉,캐나다,"코미디,멜로/로맨스",캐나다,코미디,[{'peopleNm': '도날드 페트리'}],[]
20183747,극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드,Uchu Sentai Kyuranger vs Space Squad,2018.0,20181206,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '사카모토 코이치'}],[]
20183212,내 여자친구의 엄마,,2018.0,20181204,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김부곤'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182310,핫팬티의 어린숙모님,Shinzoku-soukan Nakayama Riri,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '베타 타카오'}],[]
20178825,모털 엔진,Mortal Engines,2018.0,20181205,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,[{'peopleNm': '크리스찬 리버스'}],[]
20182308,정말 이쁜 새엄마,Chitsunai-shasei Dekiru Kayama Mio,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '베타 타카오'}],[]
20182306,음란한 미용사들,Sex Trial at Beauty Shop 4,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '후지모리 유키오'}],[]
20182304,아내의 미인 엄마,Too Dirty Mother-in-Law,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '와타나베 나카오'}],[]
20182232,새엄마의 변태성향,Metamorphosis art sucking bond,2017.0,20181203,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '야마자키 쿠니노리'}],[]
20182233,부하직원의 어린아내,Subordinate's Wife,2017.0,20181203,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '오우치 아이리'}],[]
20182231,목욕하는 금단정사,Shinzoku-soukan Aoi Shiho,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '키타노 마지메'}],[]
20182309,돈없는 형수의 속옷장사,Kinketsu Bijin Hanayone to Kettakushite,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사루 타카시'}],[]
20182307,대실금-젖은팬티,Daishikkin Horiuchi Akemi,2017.0,20181203,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '타마츠카 빙고'}],[]
20182311,기모노 신인 여가수의 접대,Enka women disorder love story scenery,2017.0,20181203,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '세키네 카즈미'}],[]
20184446,나이트 쉬프트,Night shift,2018.0,20181129,장편,개봉,아일랜드,"공포(호러),스릴러",아일랜드,공포(호러),[{'peopleNm': '스티븐 홀'}],[]
20184190,언노운 게스트,Ink & Steel,2014.0,20181127,장편,개봉,미국,"범죄,스릴러",미국,범죄,"[{'peopleNm': '조나단 엘러스'}, {'peopleNm': '패트릭 워드 퍼킨스'}]",[]
20181085,지오 쓰나미,GEO DISASTER,2017.0,20181129,장편,개봉,미국,"액션,드라마,어드벤처",미국,액션,[{'peopleNm': '썬더 레빈'}],[]
20183904,연인 : 섹스중독,Lover,2016.0,20181129,장편,개봉,태국,멜로/로맨스,태국,멜로/로맨스,[{'peopleNm': '펫카냐 스릴란다'}],[]
20182750,에이리언 컨버전스,Alien Convergence,2017.0,20181129,장편,개봉,미국,"액션,공포(호러),어드벤처",미국,액션,[{'peopleNm': '롭 팔라티나'}],[]
20184232,아내의 언니,,2018.0,20181130,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '아카바 키쿠지로'}],[]
