movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20010223,쥬라기 공원 3,92,미국,"SF,어드벤처","['샘 닐', '윌리엄 H. 머시', '테이어 레오니']","['Sam Neill', 'William H. Macy', 'Tea Leoni']","['', '', '']","['', '', '']","['20100649', '20100649']","['UIP코리아', 'UIP코리아']","['United International Pictures Korea', 'United International Pictures Korea']","['배급사', '수입사']",['12세관람가']
20010203,레인디어 게임,105,미국,"액션,스릴러,범죄","['벤 애플렉', '게리 시나이즈', '샤를리즈 테론', '데니스 파리나']","['Ben Affleck', 'Gary Sinise', 'Charlize Theron', 'Dennis Farina']","['루디 던칸', '가브리엘', '애슐리', '']","['', '', '', '']","['20103082', '20100303', '20100947']","['디멘션 필름즈', '(주)시네마서비스', '(주)태원엔터테인먼트']","['Dimension Films', 'Cinema Service Co.,Ltd.', 'TAEWON ENTERTAINMENT']","['제작사', '배급사', '수입사']",['18세관람가']
19980281,유브 갓 메일,119,미국,"멜로/로맨스,코미디","['톰 행크스', '맥 라이언']","['Tom Hanks', 'Meg Ryan']","['조 폭스', '캐슬린 켈리']","['', '']","['20103668', '20100043']","['워너 브러더스 픽쳐스', '워너브러더스 코리아(주)']","['Warner Bros. Pictures', 'Warner Bros. Korea']","['제작사', '수입사']",['12세 미만인 자는 관람할 수 없는 등급']
19980241,롤랜드 에머릭의 디스트럭션,95,독일,SF,['리키 뮐러'],['Richy Muller'],[''],[''],"['20102543', '20104283']","['센트로폴리스 필름 프로덕션', '아트레이드인터내셔널']","['Centropolis Film Productions', '']","['제작사', '수입사']",['12세 미만인 자는 관람할 수 없는 등급']
19980227,비지터 2,98,프랑스,"가족,코미디,판타지","['장 르노', '크리스티앙 클라비에']","['Jean Reno', 'Christian Clavier']","['', '']","['', '']","['20103810', '20103093', '20100619']","['고몽', '(주)동아수출공사', '영성프로덕션']","['Gaumont', 'Dong-a Export Co., LTD', '']","['제작사', '수입사', '수입사']",['12세 미만인 자는 관람할 수 없는 등급']
19980251,아이스 스톰,110,미국,드라마,"['케빈 클라인', '조앤 알렌', '시고니 위버']","['Kevin Kline', '', 'Sigourney Weaver']","['', '', '제이니 카버']","['', '', '']","['20103897', '20100472']","['폭스써치라이트픽처스', '(주)제이콤']","['Fox Searchlight Pictures ', '']","['제작사', '수입사']",['18세 미만인 자는 관람할 수 없는 등급']
19880188,용호상조,92,홍콩,액션,"['장국강', '유덕화']","['Cheung Gwok Keung', 'Andy Lau']","['', '']","['', '']","['20101055', '20136655', '20136655']","['㈜김추련 제작소', '스크린조이', '스크린조이']","['', '', '']","['제작사', '배급사', '수입사']",['고등학생이상관람가']
20148228,불륜의 맛,74,한국,"멜로/로맨스,드라마","['김지원', '이민우']","['', '']","['', '']","['', '']","['20063099', '20063099']","['(주)케이알씨지', '(주)케이알씨지']","['KRCG', 'KRCG']","['제작사', '배급사']",['청소년관람불가']
20148090,스케치,94,한국,"멜로/로맨스,드라마","['고은아', '박재정', '주민하', '지대한', '권유진', '전승범', '이동환', '김나영', '김정환']","['KO Eun-a', 'PARK Jae-jung', 'JU Min-ha', 'JI Dae-han', '', '', '', '', 'KIM Jung-hwan']","['수연', '창민', '미라', '관장', '큐레이터', '카페손님2', '정곤', '꽃집주인', '화랑주인2']","['', '', '', '', '', '', '', '', '']","['20139397', '20138575', '20139397']","['(주)어나더스타', '브릿지웍스 엔터테인먼트(주)', '(주)어나더스타']","['Another Star Inc', 'Bridgeworks Entertainment., Ltd', 'Another Star Inc']","['제작사', '배급사', '제공']",['청소년관람불가']
20147882,페인트볼,89,스페인,드라마,['브렌단 맥키'],['Brendan Mackey'],[''],[''],"['20136655', '20136655']","['스크린조이', '스크린조이']","['', '']","['배급사', '수입사']",['청소년관람불가']
20147788,영웅: 천하의 시작,109,중국,"액션,드라마,전쟁","['이연걸', '양조위', '장만옥', '장쯔이', '견자단']","['Jet Li', 'Tony Leung Chiu Wai', 'Maggie Cheung', 'Zhang Ziyi', 'Donnie Yen']","['', '', '', '', '']","['', '', '', '', '']","['2013216', '20122497']","['(주)박수엔터테인먼트', '(유)조이앤컨텐츠그룹']","['Boxoo Entertainment  ', 'JOY N CONTENTS GROUP']","['배급사', '수입사']",['15세이상관람가']
20147695,엔들리스 러브,104,미국,"드라마,멜로/로맨스","['알렉스 페티퍼', '라이스 웨이크필드', '브루스 그린우드', '조엘리 리처드슨', '가브리엘라 와일드']","['Alex Pettyfer', 'Rhys Wakefield', 'Bruce Greenwood', 'Joely Richardson ', 'Gabriella Wilde']","['데이빗', '키스', '휴', '앤', '제이드']","['', '', '', '', '']","['20100603', '20100603']","['유니버설픽쳐스인터내셔널 코리아(유)', '유니버설픽쳐스인터내셔널 코리아(유)']","['Universal Pictures International Korea', 'Universal Pictures International Korea']","['배급사', '수입사']",['15세이상관람가']
20147616,사다코 2,95,일본,공포(호러),"['타키모토 미오리', '세토 코지', '야마모토 유스케']","['Miori Takimoto', 'Kouji Seto', '']","['', '', '']","['', '', '']","['20110752', '20062868']","['(주)미디어데이', '(주)도키엔터테인먼트']","['Mediaday', '']","['배급사', '수입사']",['15세이상관람가']
20147612,쓰리데이즈 투 킬,115,미국,"액션,스릴러","['케빈 코스트너', '앰버 허드', '헤일리 스테인펠드', '코니 닐슨', '에리크 에부아니', '토마스 레마르쿼즈']","['Kevin Costner', 'Amber Heard', 'Hailee Steinfeld', 'Connie Nielsen', 'Eriq Ebouaney', 'Tomas Lemarquis']","['', '', '', '', '', '']","['', '', '', '', '', '']","['20100520', '20122497', '20122497']","['롯데쇼핑㈜롯데엔터테인먼트', '(유)조이앤컨텐츠그룹', '(유)조이앤컨텐츠그룹']","['Lotte shopping Lotte Entertainment Co.,Ltd', 'JOY N CONTENTS GROUP', 'JOY N CONTENTS GROUP']","['배급사', '수입사', '제공']",['15세이상관람가']
20147564,정사의 시작,73,일본,"드라마,멜로/로맨스",['후지와라 아키미'],[''],[''],[''],"['20122497', '20122497']","['(유)조이앤컨텐츠그룹', '(유)조이앤컨텐츠그룹']","['JOY N CONTENTS GROUP', 'JOY N CONTENTS GROUP']","['배급사', '수입사']",['청소년관람불가']
20147560,엘로이즈: 그녀들의 사랑,94,스페인,드라마,['로라 콘제로'],['Laura Conejero'],[''],[''],"['20136655', '20136655']","['스크린조이', '스크린조이']","['', '']","['배급사', '수입사']",['청소년관람불가']
20149294,2014 지구 최후의 날,89,캐나다,SF,"['스티븐 볼드윈', '에이미 프라이스 프란시스']","['Stephen Baldwin', 'Amy Price-Francis']","['', '']","['', '']","['20063099', '20063099']","['(주)케이알씨지', '(주)케이알씨지']","['KRCG', 'KRCG']","['배급사', '수입사']",['12세이상관람가']
20149125,천국에 다녀온 소년,99,미국,드라마,"['그렉 키니어', '켈리 라일리', '코너 코롬']","['Greg Kinnear', 'Kelly Reilly', 'Connor Corum']","['', '', '']","['', '', '']","['20125636', '20125636']","['소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)', '소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)']","['SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.', 'SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.']","['배급사', '수입사']",['전체관람가']
