movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20186567,이블데드 본리스,Bornless Ones,2016,20181018,장편,개봉,미국,공포(호러),미국,공포(호러),"('알렉산더 바바에브', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183123,양의 나무,The Scythian Lamb,2017,20181018,장편,개봉,일본,스릴러,일본,스릴러,"('요시다 다이하치', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180628,액슬,A-X-L,2018,20181018,장편,개봉,미국,"액션,어드벤처",미국,액션,"('올리버 달리', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20188334,미드나잇 맨,The Midnight Man,2017,20180812,장편,개봉,미국,"공포(호러),코미디,스릴러",미국,공포(호러),"('아이토르 유발리', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183046,외도:남편 상사와의 하룻밤,Dannano jyousitohurin,2016,20181017,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('나쿠루 하라다', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20179345,불륜 동창회 무삭제,,2017,20181016,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","('20161021', ' ', ' ')","('(주)영화사가을', ' ', ' ')"
20182965,맛있는 섹스 누나 친구-무삭제판,,2018,20181016,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이전', ' ', ' ', ' ')","('20063099', ' ', ' ')","('(주)케이알씨지', ' ', ' ')"
20182338,룸싸롱 여대생들 무삭제,,2018,20181016,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","('20161021', ' ', ' ')","('(주)영화사가을', ' ', ' ')"
20182243,데드 리스트,Dead list,2018,20181016,장편,개봉,미국,공포(호러),미국,공포(호러),"('홀든 앤드루스', '이반 아센', '빅터 마티유', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20173734,죄 많은 소녀,After My Death,2017,20180913,장편,개봉,한국,"드라마,미스터리",한국,드라마,"('김의석', ' ', ' ', ' ')","('20100572', ' ', ' ')","('한국영화아카데미', ' ', ' ')"
20189268,루이스,Luis and the Aliens,2018,20180920,장편,개봉,독일,애니메이션,독일,애니메이션,"('울프강 라우엔슈타인', '크리스토프 라우엔슈타인', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189462,셜록 놈즈,Sherlock Gnomes,2018,20181003,장편,개봉,미국,"애니메이션,코미디",미국,애니메이션,"('존 스티븐슨', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20187121,리:본,RE:BORN,2016,20180725,장편,개봉,일본,액션,일본,액션,"('시모무라 유지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180163,뉴욕 라이브러리에서,Ex Libris: New York Public Library,2017,20181011,장편,개봉,미국,다큐멘터리,미국,다큐멘터리,"('프레데릭 와이즈만', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20188661,에브리데이,EVERY DAY,2018,20181011,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,"('마이클 수지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182615,착한여선생,,2018,20181012,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('최은정', ' ', ' ', ' ')","('20130184', ' ', ' ')","('스마일컨텐츠', ' ', ' ')"
20181466,착한 자매들,,2018,20181012,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('김부곤', ' ', ' ', ' ')","('20161021', ' ', ' ')","('(주)영화사가을', ' ', ' ')"
20180585,유부녀 미용사의 유혹,Sex Trial at Beauty Shop 3,2017,20181012,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('카토 미키', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180007,보험왕의 육체계약,Sensual Insurance Saleswomen 2,2017,20181012,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('사카타 히로키', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180586,노출을 즐기는 간호사,Female Flashers of Hospital Nurse,2017,20181012,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('오우치 아이리', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182770,내아들의여자들-무삭제,,2018,20181012,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('남현수', ' ', ' ', ' ')","('20130184', ' ', ' ')","('스마일컨텐츠', ' ', ' ')"
20179189,암수살인,Dark Figure of Crime,2017,20181003,장편,개봉,한국,"범죄,드라마",한국,범죄,"('김태균', ' ', ' ', ' ')","('20189241', '20154810', ' ')","('(주)필름295', '(주)블러썸픽쳐스', ' ')"
20185902,여자라는 이름으로,Name Of A Woman,2018,20181011,장편,개봉,프랑스,드라마,프랑스,드라마,"('마르코 툴리오 지오다나', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180047,스텝 바이 스텝,Step By Step,2016,20181011,장편,개봉,프랑스,드라마,프랑스,드라마,"('그랜드 콥스 마라드', '메흐디 이디르', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182907,헤픈 아내:남편보다 이웃 노인,RoujintoLOVE,2017,20181011,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('토미죠 타로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182906,정사:유부녀가 된 첫사랑,Motonokerenihoretatuma,2017,20181011,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('토미죠 타로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182897,아내의 나쁜 섹스,Hurintumawomodose!,2017,20181011,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('나가에 타카미', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182586,맛있는 아내,,2018,20181011,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,"('노현진', ' ', ' ', ' ')","('20174681', ' ', ' ')","('(주)마이애미미디어', ' ', ' ')"
20182899,동정 탈출!여배우의 성교육,Erobon,2018,20181011,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('이케지마 유타카', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180624,킨: 더 비기닝,Kin,2018,20181011,장편,개봉,미국,"미스터리,액션",미국,미스터리,"('조나단 베이커', '조쉬 베이커', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189067,미쓰백,Miss Baek,2017,20181011,장편,개봉,한국,드라마,한국,드라마,"('이지원', ' ', ' ', ' ')","('20154008', ' ', ' ')","('영화사 배', ' ', ' ')"
20189069,데스 위시,DEATH WISH,2018,20181011,장편,개봉,미국,"액션,범죄,드라마,스릴러",미국,액션,"('일라이 로스', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181262,노크: 초대받지 않은 손님,Strangers: Prey at Night,2018,20181011,장편,개봉,미국,"공포(호러),스릴러",미국,공포(호러),"('조하네스 로버츠', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20185222,체실 비치에서,On Chesil Beach,2017,20180920,장편,개봉,영국,"드라마,멜로/로맨스",영국,드라마,"('도미닉 쿡', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181382,위자: 마지막 게임,Ouija seance: The Final Game,2018,20181005,장편,개봉,미국,공포(호러),미국,공포(호러),"('안드레아 무냐이니', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181403,로보캅: 최후의 전쟁,Defective,2018,20181005,장편,개봉,미국,"SF,액션",미국,SF,"('리스 에벤센', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180523,스타 이즈 본,A Star Is Born,2018,20181009,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,"('브래들리 쿠퍼', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,2018,20181009,장편,개봉,영국,"애니메이션,액션,가족",영국,애니메이션,"('마이크 데블린', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180931,극장판 가면라이더 이그제이드: 트루 엔딩,Kamen Rider Ex-Aid: True Ending,2017,20181009,장편,개봉,일본,"액션,애니메이션",일본,액션,"('나카자와 쇼지로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180787,맥베스,MACBETH,2018,20181003,장편,개봉,영국,공연,영국,공연,"('필리다 로이드', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20186663,뷰티풀 뱀파이어,Beautiful Vampire,2018,20181008,장편,개봉,한국,"판타지,드라마,멜로/로맨스",한국,판타지,"('정은경', ' ', ' ', ' ')","('20175685', ' ', ' ')","('(주)싸이런픽쳐스', ' ', ' ')"
20181723,맥베스,Macbeth,2018,20181007,장편,개봉,독일,"공연,드라마",독일,공연,"('해리 쿠퍼', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
